标注说明：,,,,,,,,,,,,,,,
无用：0,,,,,,,,,,,,,,,
正面：1,,,,,,,,,,,,,,,
负面：2,,,,,,,,,,,,,,,
中性：3,,,,,,,,,,,,,,,
正面、负面均为有用评论,,,,,,,,,,,,,,,
分工,序号,评论ID,用户昵称,用户ID,评论内容,发布时间,点赞数,是否为子评论,父评论ID,爬取时间,来源文件,来源工作表,读取时间,标注,分工.1
蔡欣颖,802,244469000000.0,123654xxx,29210773.0,当年禁摩很大一部分原因是飞车党抢劫，导致严重破坏公众秩序。当年的执法手段和力度又比较弱，监控少的可怜或者说几乎就没有监控，也确实是有很多受害人去政府请求取消摩托车的。最严重的时候大白天走在大街上就能被生抢，皮包、首饰、甚至是小孩，他们什么都可能抢。那时候我爸妈还教育我说一定要靠人行道最里面走，前往不要长时间走在路边,2024-10-15 21:13:35,3,是,244463000000.0,2026-01-21 12:41:12,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据,2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,3329,273394000000.0,红石吖,174404271.0,我这里不怎么管[呲牙],2025-08-31 23:22:23,0,否,,2026-01-21 13:04:38,B站评论_BV1M7h9z8EtH_20260121_130616.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,311,282284000000.0,丨人生如戏全靠吻技丨,28648197.0,最可怕的是砖家说啥是啥，好啊！好啊！,2025-12-03 07:46:19,6,否,,2026-01-21 13:06:51,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (5),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,92,244695000000.0,oCCFANo,2253103.0,我还是喜欢之前那个圆鸡蛋的配音,2024-10-16 02:24:21,31,是,244647000000.0,2026-01-21 12:39:50,B站评论_BV1bc2oYaEhG_20260121_124325.xlsx,评论数据,2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,530,284637000000.0,人人学会单片机,180270441.0,https://www.bilibili.com/video/BV1ivmFBLE5z/?vd_source=7fd6e5777d2dc03a05ee0c7514d6c01f,2025-12-07 14:16:46,0,否,,2026-01-21 12:49:35,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (12),2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,395,273216000000.0,时光悠悠百年一梦,96445079.0,别闹，哥们山地巡航都20+[笑哭]更别提公路了,2025-08-30 11:39:45,15,是,273203000000.0,2026-01-21 12:54:34,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,316,263735000000.0,一根小黄瓜哟,1763318.0,回复 @游弋弋s :新国标电动车就是限速25啊，超过25都是违法，并且所有电动车都应具备脚踏功能，私拆脚踏也是违法违规。,2025-05-25 15:33:43,4,是,262729000000.0,2026-01-21 12:17:17,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,1941,263790000000.0,电波奥特曼,360605612.0,开玩笑，厂家好欺负还是消费者好欺负？这个都不懂,2025-05-26 04:29:18,0,否,,2026-01-21 12:21:54,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,557,268967000000.0,zero早点睡觉,82054481.0,"这次感觉讲的太乱太杂了，电动车和摩托车混讲，中心有点难看出来。电动车我感觉应该是
1、适当限速
2、加大对超速、改装的监察力度，就算没有专属于电动车的驾照，也应该设置一个和身份证相关的电子证件，违法超过多少次禁止骑行",2025-07-26 20:09:53,58,否,,2026-01-21 12:52:33,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (11),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,121,263732000000.0,48699708974_bili,361869029.0,"[喜极而泣]个人用错地方了,怪厂家?糊糊涂涂的就行了",2025-05-25 14:49:04,71,是,263720000000.0,2026-01-21 12:17:01,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,187,284650000000.0,兔賊,83168317.0,"我不懂，电瓶车乱象不应该制定规范严格执行吗？
每年车祸也不少啊，也没见有人机动车限速啊",2025-12-07 16:40:17,3,否,,2026-01-21 12:30:00,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (13),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,573,270520000000.0,koiiuiuuu,3546830000000000.0,一个人赚78k和两个人赚45k还是有区别的,2025-07-29 17:02:05,6,是,270499000000.0,2026-01-21 12:52:33,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (11),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,607,284075000000.0,回不去了噢,100692324.0,"首先解禁摩托车，然后按时速来区分管理
1。25公里电瓶车按自行车管理，不要驾照，买保险，要上牌。解释一下，保险可以便宜，一年百来块，这样可以有一定保障并且限制套牌和假牌。
2。25公里以上，按电摩管理，要驾照，买保险，上牌，违章扣分。
要便利还是要速度，自己选择。",2025-12-01 21:25:04,9,否,,2026-01-21 12:52:38,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (11),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,914,270247000000.0,灵隐寺法海,28863409.0,没了，基本都是摆设,2025-07-27 12:53:48,0,是,269043000000.0,2026-01-21 12:53:19,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (11),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,3179,262805000000.0,炽搞事,634840864.0,48V的电池也违法了呀。毕竟48V的电池满电也有五十几伏。[滑稽][滑稽][滑稽]已经超过法规了。,2025-05-26 12:03:59,0,否,,2026-01-21 12:26:21,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,2.0,蔡欣颖
蔡欣颖,729,274508000000.0,漂浮的人生,4759109.0,自行车外卖即将开始[doge]，人人都是铁人三项冠军[吃瓜],2025-08-29 23:34:39,5,否,,2026-01-21 12:55:05,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,666,246672000000.0,CCCYShi-,2066824.0,你知道加北斗意味着什么吗。。。意味着你每年都要给sim卡交一次费用,2024-11-09 14:54:58,0,否,,2026-01-21 12:35:04,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,3175,273445000000.0,汐扬红,458130881.0,有驾照没有没有驾照直接搞个老头乐这么整，是吧？,2025-09-01 16:23:53,0,否,,2026-01-21 13:04:02,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (4),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,2776,262881000000.0,账号已注销,3546880000000000.0,建议深圳交警把租电池的车行也查处吧！,2025-05-27 10:03:56,0,否,,2026-01-21 12:24:54,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,357,244482000000.0,圣都枪神,17098.0,看重量，脚蹬自行车5km/h也能很稳,2024-10-16 00:09:56,2,是,244460000000.0,2026-01-21 12:40:21,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据,2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,709,284449000000.0,大frog,2124292437.0,问题就是贵啊,2025-12-05 19:20:36,0,否,,2026-01-21 12:32:32,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (2),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,1897,263796000000.0,YOU鬼迷日眼,1053714815.0,反正我是看不起电动车，真的，,2025-05-26 08:24:57,0,否,,2026-01-21 12:21:43,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,361,263862000000.0,情丝断意难断,589605321.0,逼着你抽了吗？,2025-05-26 23:14:33,3,是,263735000000.0,2026-01-21 12:17:17,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,150,115629000000.0,尤同学很专注,1489304330.0,有道理,2022-06-05 10:37:36,0,是,115627000000.0,2026-01-21 12:08:08,B站评论_BV1DU4y1y74F_20260121_121653.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,130,284482000000.0,素描這座城,39175407.0,笑飞了,2025-12-06 00:48:12,31,是,282550000000.0,2026-01-21 12:30:49,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (2),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,1724,246412000000.0,Cuerency,1984863004.0,哥们又懂了,2024-11-06 11:47:23,0,是,246122000000.0,2026-01-21 12:39:06,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,561,246215000000.0,冬季特快,21034793.0,啥比，25还不够快？我山地车骑到30已经是加速状态了，常态有个22，23差不多得了。,2024-11-07 15:48:55,1,否,,2026-01-21 12:34:38,B站评论_BV1uNDhYBERK_20260121_123942.xlsx,评论数据,2026-01-21 14:24:40,2.0,蔡欣颖
蔡欣颖,365,284516000000.0,DavidWong先生,474227235.0,想什么都要买黄牌,2025-12-06 12:17:40,0,否,,2026-01-21 12:30:30,B站评论_BV19q25BjEhy_20260121_123041.xlsx,评论数据,2026-01-21 14:24:34,2.0,蔡欣颖
蔡欣颖,1759,274955000000.0,Shabriri,474202436.0,回复 @大天域无敌 :拉倒吧，点外卖的有多少是因为送得快才点餐而不是自己出去吃或者做饭的？,2025-09-03 13:30:37,0,是,274949000000.0,2026-01-21 12:58:34,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,783,274754000000.0,我是阿骠,379214917.0,25还不如骑自行车,2025-09-01 07:40:27,0,是,274732000000.0,2026-01-21 12:55:10,B站评论_BV1M7h9z8EtH_20260121_130616.xlsx,评论数据,2026-01-21 14:24:39,2.0,蔡欣颖
蔡欣颖,1434,262877000000.0,猫袜子--,382804290.0,看完了吗,2025-05-27 08:48:45,0,是,263883000000.0,2026-01-21 12:19:56,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,2238,116153000000.0,尤同学很专注,1489304330.0,哈哈[支持],2022-06-09 14:19:27,0,是,116131000000.0,2026-01-21 12:13:13,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,3255,262794000000.0,咖啡界郭德纲,227324750.0,这里面有几个问题，这个车上的蓝牌，是电动车，只能用48v电池，60v是属于电摩，深圳又禁摩，所以60v用不了。至于不能用为什么可以租，这个租是属于商业行为，归市场监督部门管理，交警没有权限管理。,2025-05-26 08:39:44,0,否,,2026-01-21 12:26:41,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,1019,270219000000.0,无敌是条有梦想的鱼,151886002.0,"他们都在装傻
现在的改装电自比老家的电摩还厉害
不用驾驶证/没保险/路权无敌
我自己就是那么干的，太爽了
再不管管我就要改电机了[捂眼]",2025-07-27 08:04:52,2,否,,2026-01-21 12:53:35,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (11),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,515,284466000000.0,落照孤星,486163618.0,麻袋厂家应该是最大投资方,2025-12-05 21:59:38,0,否,,2026-01-21 12:47:39,B站评论_BV1MJ2aBXE5B_20260121_124815.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,736,284426000000.0,因为懒随便取一个名字,570355826.0,🐶看都摇头，我说白了又慢又不能载人我要你干嘛，和女朋友一个骑一个吗,2025-12-05 15:14:00,0,否,,2026-01-21 12:32:37,B站评论_BV1cZ2YB1Ee3_20260121_123328.xlsx,评论数据,2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,923,282477000000.0,菲H,18421151.0,建议官方直接每人发个二维码然后扫钱,2025-12-05 10:39:03,0,否,,2026-01-21 12:33:23,B站评论_BV1cZ2YB1Ee3_20260121_123328.xlsx,评论数据,2026-01-21 14:24:38,0.0,蔡欣颖
蔡欣颖,2799,262876000000.0,安安睡觉了没,9190955.0,看到就马上掉头跑路,2025-05-27 08:17:13,0,否,,2026-01-21 12:24:59,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,1445,275384000000.0,黛玉倒拔鲁智深-,16533321.0,我还记得我的第一个电瓶车最高速度还没有共享电瓶车快[笑哭],2025-09-07 20:41:11,0,否,,2026-01-21 12:57:20,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,188,262713000000.0,打爆浆西红柿,365383877.0,回复 @Vergil0906 :深圳禁摩，你有驾照有什么用？能在深圳开吗？,2025-05-25 11:16:56,3,是,262698000000.0,2026-01-21 12:17:06,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,594,269039000000.0,地北谁的谁,3154996.0,一看就是开车的，汽车要不在城市道路限速到35?,2025-07-27 12:15:58,24,是,270229000000.0,2026-01-21 12:52:38,B站评论_BV1ya84z3EaS_20260121_125405.xlsx,评论数据,2026-01-21 14:24:40,2.0,蔡欣颖
蔡欣颖,2767,273751000000.0,20后萌新,3546820000000000.0,[OK]骑了很多次共享电动车习惯了,2025-09-05 07:33:02,0,否,,2026-01-21 13:02:24,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,518,244446000000.0,我怕是要拿40米的大刀,129382692.0,如果划了车道不拦马上就是一条停车道。拦了就是双向电动车道。逆行的骑自行车摩托车三轮车人走的。都在上面。太难咯,2024-10-15 15:02:56,1,是,244648000000.0,2026-01-21 12:40:36,B站评论_BV1bc2oYaEhG_20260121_124325.xlsx,评论数据,2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,302,282327000000.0,Mr陈C,25004766.0,估计还不如人家代驾员的电动折叠滑板车,2025-12-03 18:05:30,4,是,284240000000.0,2026-01-21 13:06:51,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (5),2026-01-21 14:24:35,2.0,蔡欣颖
蔡欣颖,886,262789000000.0,落嫣诗涵-,34354564.0,控制器基本支持48--60v就里面一根线断与不断的问题，接了支持60v,2025-05-26 05:45:34,0,是,262787000000.0,2026-01-21 12:18:08,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,0.0,蔡欣颖
蔡欣颖,2994,262837000000.0,凄夜听轌,21758880.0,[哦呼]我们上海感觉不查这玩意啊？马路上几个电机开的飞快，明显不是国标。,2025-05-26 19:23:56,0,否,,2026-01-21 12:25:45,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,1854,274880000000.0,Arta二号机,326640009.0,好事,2025-09-02 16:43:39,0,否,,2026-01-21 12:58:54,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (4),2026-01-21 14:24:35,1.0,蔡欣颖
蔡欣颖,778,125473000000.0,尤同学很专注,1489304330.0,你们牛（⌒▽⌒）,2022-08-13 16:47:06,0,是,125465000000.0,2026-01-21 12:09:31,B站评论_BV1DU4y1y74F_20260121_121653.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,936,263810000000.0,赵洪松H,1926917326.0,不能用60伏的，那你为什么不去通知一下租电瓶公司？,2025-05-26 12:21:12,2,否,,2026-01-21 12:18:13,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,2093,274757000000.0,和我好久好久,1944072417.0,现行国标GB17761-2018中对电动自行车的限速就是25km/h，新标GB17761-2024中对速度的要求是维持而不是变动，你在带🐴，,2025-09-01 08:54:35,0,否,,2026-01-21 12:59:50,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (4),2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,1743,120439000000.0,白霧靈,6621188.0,不能载人 不能载货还真的不如一辆自行车，脚蹬也是，那还不如骑辆自行车来的轻松,2022-07-12 06:23:20,1,否,,2026-01-21 12:12:10,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,2.0,蔡欣颖
蔡欣颖,279,284446000000.0,星砂るな,1714802536.0,你不会在另一边也挂一个吗，更能装了[doge_金箍],2025-12-05 18:58:20,0,是,282476000000.0,2026-01-21 12:46:52,B站评论_BV1MJ2aBXE5B_20260121_124815.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,157,284398000000.0,鸭绿乌拉,494466027.0,别胡说啊，万一真逼着你买咋整,2025-12-05 09:19:42,47,是,282472000000.0,2026-01-21 12:30:54,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (2),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,56,244492000000.0,_新城,182862884.0,人类的缺点就是不会学习前人的经验，大禹治水的时候就教过了[脱单doge],2024-10-16 08:04:25,37,是,244444000000.0,2026-01-21 12:39:45,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据,2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,281,282699000000.0,玉露秋寒,697700162.0,意思是，我家里那俩辆能开到50码的已经绝版了嘛[思考],2025-12-07 13:33:23,1,否,,2026-01-21 12:30:15,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (13),2026-01-21 14:24:36,3.0,蔡欣颖
蔡欣颖,422,284477000000.0,天山下的一棵屮,1271523838.0,吃像太好看了吧,2025-12-05 23:43:03,2,否,,2026-01-21 12:31:25,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (2),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,2,282433000000.0,蝴蝶结是本体,356631297.0,[tv_惊吓]就不能往电池迭代方向点技能树嘛。。,2025-12-04 20:29:39,134,是,284336000000.0,2026-01-21 12:46:27,B站评论_BV1MJ2aBXE5B_20260121_124815.xlsx,评论数据,2026-01-21 14:24:39,3.0,蔡欣颖
蔡欣颖,3336,262782000000.0,星文雨,31864173.0,国家规定是一个标准，然后地方规定又是一个标准，明白了吧。然后实施力度又是一个标准。然后电池租赁也好，车辆生产也好，国家又是另外一个标准。说句通俗一点的就是美国卖枪和买枪都不犯法，但是你把枪带到中国来就犯法。,2025-05-26 01:05:20,0,否,,2026-01-21 12:27:02,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,346,275115000000.0,TAQ君,8285207.0,回复 @TAQ君 :大家都是想着自己怎么方便怎么来的,2025-09-05 09:21:13,0,是,274654000000.0,2026-01-21 12:54:29,B站评论_BV1M7h9z8EtH_20260121_130616.xlsx,评论数据,2026-01-21 14:24:39,3.0,蔡欣颖
蔡欣颖,3378,274719000000.0,吃麻吃炸吃串,13842537.0,要不是我前几天骑共享单车下坡被超25断电往后拽了一下差点翻车摔倒我就信了,2025-08-31 20:40:27,1,是,273378000000.0,2026-01-21 13:04:48,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,431,282519000000.0,海伦ai,104338690.0,说来是去，还不是有人买[热],2025-12-05 18:59:07,1,否,,2026-01-21 12:47:19,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (6),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,682,284412000000.0,dolagen-D,394809735.0,先锻炼跑步吧，下次说不定就变成限速五公里了！,2025-12-05 12:23:37,0,否,,2026-01-21 12:50:11,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (12),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,10,244449000000.0,热心市民钱太太,11968681.0,回复 @小李的平淡生活 :我飙到130+都被这小哥轻松超了，后面我不敢加速了就停下来了[笑哭],2024-10-15 16:14:28,24,是,244448000000.0,2026-01-21 12:39:45,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据,2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,1127,172577000000.0,郭凌俊,81044546.0,什么红白脸,2023-07-01 02:35:34,1,否,,2026-01-21 12:10:33,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,1874,274863000000.0,我们会越过世界,104265328.0,太好了，乱窜的电动车终于要少很多了,2025-09-02 12:35:54,0,否,,2026-01-21 12:58:59,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,1036,175052000000.0,账号已注销,3494350000000000.0,[吃瓜],2023-07-15 08:45:45,0,是,175052000000.0,2026-01-21 12:10:12,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,70,282535000000.0,苦命鸳鸯哈鸡米哈鸭库,37389253.0,这么离谱？国标还规定了坐垫不能固定？理由是什么？如果我自己固定了是不是违反新国标了？,2025-12-05 21:38:29,226,否,,2026-01-21 12:46:27,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (6),2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,2239,116128000000.0,我的传奇123,8923126.0,我买了个非国标的上摩托车黄牌的但有个问题这车最高速度只有五十码我跑机动车道太危险（上机动车道越慢越危险）但去非机动车道我又是摩托车牌照算机动车[笑哭]所以左右为难,2022-06-09 10:30:44,1,否,,2026-01-21 12:13:13,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,2837,273653000000.0,星晴天芊芊,379117588.0,你还想飞多块，这么乱，草,2025-09-04 00:14:33,0,否,,2026-01-21 13:02:44,B站评论_BV1M7h9z8EtH_20260121_130616.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,138,284392000000.0,ZZZZZZZZZTE,3493090000000000.0,囤了也没用，不让卖,2025-12-05 07:02:42,7,是,284391000000.0,2026-01-21 12:48:29,B站评论_BV19D2aBhEPi_20260121_125153.xlsx,评论数据,2026-01-21 14:24:34,2.0,蔡欣颖
蔡欣颖,569,246196000000.0,月色真美QAQ_,179245153.0,小黄车是多少啊感觉小黄车速度还可以虽然有点慢不过也不是太慢。,2024-11-07 10:41:53,1,否,,2026-01-21 12:34:43,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (9),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,646,250003000000.0,Covalent_bond,444301640.0,"看了你这个图我就放心了，本人学生党，没有运动基础，骑共享单车也好久了，确定日常速度在&lt;=15，且峰值速度&lt;20。只有一次到25km/h以上那是因为长下坡。

看B站不止一次觉得自己是不是废物，看这个图发现只不过是没有运动基础和骑行基础，没在该圈内罢了[笑哭]",2024-12-23 22:37:02,0,是,246804000000.0,2026-01-21 12:34:58,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (9),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,734,284428000000.0,橘生淮南为成枳,29650045.0,电驴就该整治,2025-12-05 15:40:03,0,否,,2026-01-21 12:32:37,B站评论_BV1cZ2YB1Ee3_20260121_123328.xlsx,评论数据,2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,736,284400000000.0,牙签插在脚趾缝对墙踢,51593923.0,总感觉这电动车一年一个国标,2025-12-05 09:52:39,0,否,,2026-01-21 12:50:26,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (12),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,1284,131514000000.0,妙妙小臭蛋,394636571.0,就前几天我朋友电动车被扣了，过了5天去停车场取，然后钥匙找不到了，原本可以骑行2个来回的电动车，神奇的只能骑一个单边了，仅仅5天，原本好好的电池突然就不行了,2022-09-27 08:57:54,1,否,,2026-01-21 12:11:03,B站评论_BV1DU4y1y74F_20260121_121653.xlsx,评论数据,2026-01-21 14:24:39,2.0,蔡欣颖
蔡欣颖,943,246445000000.0,被困在陵墓里的始皇帝,1520404733.0,解限速不就完了，车店不给解拼多多有卖的100多,2024-11-06 19:21:31,0,否,,2026-01-21 12:36:05,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (9),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,2140,116513000000.0,尤同学很专注,1489304330.0,[支持],2022-06-12 10:00:08,0,是,116508000000.0,2026-01-21 12:12:57,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,1.0,蔡欣颖
蔡欣颖,189,140453000000.0,现在以後,205250030.0,[微笑],2022-12-05 09:17:53,0,是,115394000000.0,2026-01-21 12:08:13,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,621,284755000000.0,騒凸王,67656410.0,还真不如直接搞电助力自行车，同样都是400w电机，限速25km。上坡加脚蹬轻松到25，下坡纯靠脚蹬也能突破25。由于自行车本身就够轻，塑料件极少，电池容量还能搞更大,2025-12-08 18:17:38,0,否,,2026-01-21 12:32:11,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (2),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,83,282673000000.0,sysxns,403063362.0,这玩意还不如我花几百块买个二手的破自行车呢,2025-12-07 08:27:31,24,是,284604000000.0,2026-01-21 12:29:49,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (13),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,348,117315000000.0,小鹿_o3o,1874243702.0,你这个我赞同,2022-06-18 17:32:43,1,是,115750000000.0,2026-01-21 12:08:29,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,2401,115658000000.0,嚣张的阿伟zZ,264134765.0,让电动车驾驶有个门槛，规范化管理。基本交通秩序一定要遵守，不能全让机动车背锅。,2022-06-05 14:52:57,1,否,,2026-01-21 12:13:33,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,3.0,蔡欣颖
蔡欣颖,320,273727000000.0,喜欢无客观,3546620000000000.0,年审一下又要你命了，你命这么脆弱吗？,2025-09-04 22:13:56,1,是,273669000000.0,2026-01-21 12:54:29,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,2.0,蔡欣颖
